2026-07-07 00:35:00,884 | INFO | NYRA | NYRA Server Started Successfully
2026-07-07 00:35:38,799 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:42,098 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:42,341 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:42,575 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:42,791 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:43,007 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:43,237 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:43,459 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:43,702 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:43,911 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:44,146 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:44,357 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:35:44,548 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:01,546 | INFO | NYRA | NYRA Server Started Successfully
2026-07-07 00:36:07,487 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:07,711 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:07,919 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:08,160 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:08,376 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:08,596 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:08,821 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:09,037 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:09,260 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:09,473 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:09,696 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:09,937 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:10,149 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:10,386 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:10,608 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:10,845 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:11,079 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:11,308 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:11,520 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:36:18,846 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:25,448 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:25,709 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:25,924 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:26,159 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:26,404 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:26,638 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:26,883 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:27,119 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:27,351 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:27,544 | INFO | NYRA | Root endpoint accessed
2026-07-07 00:38:27,770 | INFO | NYRA | Root endpoint accessed
